Crop_or_Season,Location,Net_Irrigation_Reference_mm,Source_Type,Source
Boro,Bogura,1056,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
Boro,Rangpur,765,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
Boro,Rajshahi,923,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
Boro,Ishwardi,871,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
Boro,Chuadanga,868,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
Boro,Jashore,874,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
Boro,Dinajpur,923,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aman,Bogura,60,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aman,Rangpur,0,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aman,Rajshahi,190,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aman,Ishwardi,133,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aman,Chuadanga,127,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aman,Jashore,67,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aman,Dinajpur,60,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aus,Bogura,397,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aus,Rangpur,271,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aus,Rajshahi,483,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aus,Ishwardi,508,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aus,Chuadanga,496,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
T. Aus,Jashore,514,BANGLADESH_CROPWAT,"Hossain et al. (2020), Irrigation Strategy for Crop Production in Northwest and Southwest Region of Bangladesh"
