Crop,Season,Growth_Stage,Records,Mean_ET0_mm,Mean_Kc,Mean_ETc_mm,Mean_Rainfall_mm,Mean_Effective_Rainfall_mm,Mean_Irrigation_Baseline_mm
Mustard,Rabi,Development,5440,2.740183823529412,0.75,2.055137867647059,0.9506433823529412,0.6690340073529412,1.9866107536764706
Mustard,Rabi,Initial,5440,3.1060551470588234,0.45,1.3977248161764706,0.15494485294117646,0.11731617647058824,1.3739476102941177
Mustard,Rabi,Late,5440,3.236696691176471,0.5,1.6183483455882355,0.2933455882352941,0.23281801470588234,1.5457150735294118
Mustard,Rabi,Mid,10880,2.8085597426470588,1.1,3.089415716911765,0.19349264705882352,0.15804733455882353,3.013217555147059
Potato,Rabi,Development,6120,2.739967320261438,0.75,2.0549754901960786,0.15740196078431373,0.1259485294117647,2.0151813725490197
Potato,Rabi,Initial,6120,2.917683006535948,0.45,1.3129573529411764,0.8580392156862745,0.601890522875817,1.269681617647059
Potato,Rabi,Late,6120,3.7785996732026144,0.85,3.211809722222222,0.30354575163398695,0.24752287581699348,3.0856644607843133
Potato,Rabi,Mid,12240,2.9629019607843134,1.15,3.4073372549019605,0.24462418300653593,0.19599468954248364,3.3165361928104575
Rice,Boro,Development,7140,3.78993837535014,1.12,4.244730980392157,0.44085434173669463,0.3526435574229692,4.050303361344538
Rice,Boro,Initial,7140,3.0851498599439777,1.09,3.362813347338936,0.23598039215686276,0.19094397759103643,3.2711634453781513
Rice,Boro,Late,7242,5.0056048053024025,1.08,5.406053189726595,3.7712648439657555,2.80269884009942,4.245674067937034
Rice,Boro,Mid,14280,4.59709243697479,1.14,5.24068537815126,1.6516176470588235,1.266389705882353,4.626632366946779
Rice,T. Aman,Development,7140,3.4091330532212885,1.12,3.8182290196078434,10.87190476190476,7.966257002801121,1.2104543417366949
Rice,T. Aman,Initial,6800,3.1696338235294115,1.09,3.4549008676470594,13.761941176470588,9.897896323529412,0.7837902941176471
Rice,T. Aman,Late,7480,3.347791443850267,1.08,3.615614759358289,3.9820989304812833,2.838530080213904,3.0071018716577544
Rice,T. Aman,Mid,14280,3.327185574229692,1.14,3.7929915546218487,8.588494397759103,6.393607142857143,1.5481202941176468
Rice,T. Aus,Development,6460,4.514763157894737,1.12,5.056534736842106,6.997043343653251,5.123602167182662,3.11090786377709
Rice,T. Aus,Initial,6460,4.8868993808049535,1.09,5.3267203250774005,4.943188854489164,3.662216718266254,3.843664473684211
Rice,T. Aus,Late,6460,3.3523452012383905,1.08,3.620532817337461,12.608808049535602,9.125503869969041,0.9753581424148607
Rice,T. Aus,Mid,12920,3.7054411764705883,1.14,4.22420294117647,12.16234520123839,8.727504256965945,1.665786362229102
Wheat,Rabi,Development,7480,2.76798128342246,0.78,2.1590254010695187,0.21228609625668451,0.17124665775401068,2.0937635294117647
Wheat,Rabi,Initial,7480,2.7918008021390373,0.42,1.1725563368983958,0.7769652406417112,0.5483549465240641,1.1358149999999998
Wheat,Rabi,Late,7582,4.557383276180428,0.48,2.1875439725666053,1.028989712476919,0.7894302294908995,1.9658192033764177
Wheat,Rabi,Mid,14960,3.434308823529412,1.13,3.880768970588235,0.3615975935828877,0.29089705882352945,3.727980220588235
